,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
265,2467  ,志聖            ,0,"5,000","-5,000"
266,5434  ,崇越            ,"1,000","6,000","-5,000"
267,9927  ,泰銘            ,0,"5,000","-5,000"
268,2387  ,精元            ,0,"4,631","-4,631"
269,2420  ,新巨            ,0,"4,610","-4,610"
270,3090  ,日電貿          ,0,"4,190","-4,190"
271,8454  ,富邦媒          ,0,"4,000","-4,000"
272,3545  ,敦泰            ,0,"3,352","-3,352"
273,8261  ,富鼎            ,0,"3,142","-3,142"
274,1537  ,廣隆            ,0,"3,000","-3,000"
275,2208  ,台船            ,0,"3,000","-3,000"
276,2211  ,長榮鋼          ,"1,000","4,000","-3,000"
277,1712  ,興農            ,0,"2,000","-2,000"
278,2634  ,漢翔            ,0,"1,000","-1,000"
279,2850  ,新產            ,0,"1,000","-1,000"
280,3029  ,零壹            ,0,"1,000","-1,000"
281,4536  ,拓凱            ,0,"1,000","-1,000"
282,6753  ,龍德造船        ,0,"1,000","-1,000"
283,9945  ,潤泰新          ,0,"1,000","-1,000"
284,6691  ,洋基工程        ,0,761,-761
285,3617  ,碩天            ,0,13,-13
