股票代號,公司名稱,上市/櫃,今日價格,前9日加總買賣超,當日投信買賣超
6680,鑫創電子,1,88.70,0,0
6683,雍智科技,1,433.00,17,-23
6684,安格,1,62.60,0,0
6690,安碁資訊,1,211.00,0,0
6692,進能服,1,37.50,0,0
6693,廣閎科,1,84.00,0,0
6697,東捷資訊,1,54.80,0,0
6703,軒郁,1,152.50,0,0
6708,天擎,1,58.90,0,0
6712,長聖,1,178.50,0,0
6716,應廣,1,83.50,0,0
6720,久昌,1,177.50,0,0
6721,信實,1,60.20,0,0
6727,亞泰金屬,1,79.00,0,0
6728,上洋,1,131.00,0,0
6732,昇佳電子,1,239.50,-20,-15
6733,博晟生醫,1,34.25,0,0
6735,美達科技,1,56.50,0,0
6739,竹陞科技,1,210.50,0,0
6741,91APP*-KY,1,102.50,0,0
6747,亨泰光,1,128.50,0,0
6751,智聯服務,1,59.30,0,0
6752,叡揚,1,161.00,0,0
6761,穩得,1,98.80,0,0
6762,達亞,1,274.00,0,0
6763,綠界科技*,1,69.30,-1,0
6767,台微醫,1,34.75,0,0
6785,昱展新藥,1,146.50,0,0
6788,華景電,1,222.00,0,0
6791,虎門科技,1,165.00,0,0
6803,崑鼎,1,289.00,-1,-1
6804,明係,1,27.90,0,0
6811,宏碁資訊,1,289.00,265,0
6821,聯寶,1,45.80,0,0
6823,濾能,1,67.70,0,0
6829,千附精密,1,130.50,-465,-91
6840,東研信超,1,51.30,0,0
6841,長佳智能,1,83.40,0,0
6843,進典,1,50.60,0,0
6844,諾貝兒,1,138.00,0,0
6846,綠茵,1,81.10,0,0
6855,數泓科,1,159.50,0,0
6856,鑫傳,1,63.10,0,0
6859,伯特光,1,205.50,12,0
6865,偉康科技,1,62.20,0,0
6870,騰雲,1,250.00,0,0
6874,倍力,1,97.50,0,0
6875,國邑*,1,60.90,0,0
6877,鏵友益,1,72.30,0,0
6881,潤德,1,228.50,0,0
6894,衛司特,1,187.00,0,0
6895,宏碩系統,1,169.50,-511,-140
6899,創為精密,1,53.10,0,0
6903,巨漢,1,134.00,0,0
6904,伯鑫,1,143.00,0,0
6913,鴻呈,1,121.50,0,0
6922,宸曜,1,235.50,0,0
6929,佑全,1,38.20,0,0
6953,家碩,1,225.00,0,0
6967,汎瑋材料,1,52.90,0,0
6968,萬達寵物,1,60.00,0,0
6982,大井泵浦,1,62.70,0,0
6996,力領科技,1,229.00,0,0
6997,博弘,1,130.50,0,0
7402,邑錡,1,81.30,0,0
7556,意德士,1,161.00,0,0
7584,樂意,1,77.90,0,0
7703,銳澤,1,155.50,0,0
7704,明遠精密,1,72.90,0,0
7708,全家餐飲,1,94.00,0,0
7712,博盛半導體,1,248.00,0,0
7714,創泓科技,1,90.70,0,0
7715,裕山,1,49.90,0,0
8024,佑華,1,17.05,0,0
8027,鈦昇,1,82.70,0,0
8032,光菱,1,54.10,0,0
8034,榮群,1,20.40,0,0
8038,長園科,1,27.90,0,0
8040,九暘,1,76.00,0,0
8042,金山電,1,37.80,0,0
8043,蜜望實,1,33.30,0,0
8044,網家,1,44.40,0,0
8047,星雲,1,18.30,0,0
8048,德勝,1,51.00,0,0
8049,晶采,1,33.10,0,0
8050,廣積,1,73.10,-32,-15
8054,安國,1,123.00,0,0
8059,凱碩,1,37.60,0,0
8064,東捷,1,48.15,0,0
8066,來思達,1,26.95,0,0
8067,志旭,1,17.20,0,0
8068,全達,1,25.50,0,0
8069,元太,1,290.00,129,35
8071,能率網通,1,21.90,0,0
8074,鉅橡,1,21.25,0,0
8076,伍豐,1,32.45,0,0
8077,洛碁,1, ---,0,0
8080,泰霖,1,31.45,0,0
8083,瑞穎,1,162.00,0,0
8084,巨虹,1,61.80,0,0
8085,福華,1,29.95,0,0
8086,宏捷科,1,93.00,-3241,-110
8087,麗升能源,1,46.95,0,0
8088,品安,1,20.05,0,0
8089,康全電訊,1,71.10,0,0
8091,翔名,1,124.00,0,0
8092,建暐,1,22.75,0,0
8093,保銳,1,22.55,0,0
8096,擎亞,1,54.00,0,0
8097,常珵,1,83.10,0,0
8099,大世科,1,86.10,0,0
8107,大億金茂,1,19.35,0,0
8109,博大,1,92.90,0,0
8111,立碁,1,49.10,0,0
8121,越峰,1,26.20,0,0
8147,正淩,1,109.50,0,0
8155,博智,1,117.00,0,0
8171,天宇,1,38.00,0,0
8176,智捷,1,14.70,0,0
8182,加高,1,33.40,0,0
8183,精星,1,40.20,0,0
8227,巨有科技,1,179.00,0,0
8234,新漢,1,65.70,0,0
8240,華宏,1,43.80,0,0
8255,朋程,1,161.50,0,0
8272,全景軟體,1,102.00,0,0
